,Region,Country
0,NORTHERN AFRICA,Algeria
1,NORTHERN AFRICA,Egypt
2,NORTHERN AFRICA,Libya
3,NORTHERN AFRICA,Morocco
4,NORTHERN AFRICA,Sudan
5,NORTHERN AFRICA,Tunisia
6,NORTHERN AFRICA,Western Sahara
7,WESTERN AFRICA,Benin
8,WESTERN AFRICA,Burkina Faso
9,WESTERN AFRICA,Cape Verde
10,WESTERN AFRICA,Cote d'Ivoire
11,WESTERN AFRICA,Gambia
12,WESTERN AFRICA,Ghana
13,WESTERN AFRICA,Guinea
14,WESTERN AFRICA,Guinea-Bissau
15,WESTERN AFRICA,Liberia
16,WESTERN AFRICA,Mali
17,WESTERN AFRICA,Mauritania
18,WESTERN AFRICA,Niger
19,WESTERN AFRICA,Nigeria
20,WESTERN AFRICA,Senegal
21,WESTERN AFRICA,Sierra Leone
22,WESTERN AFRICA,Togo
23,EASTERN AFRICA,Burundi
24,EASTERN AFRICA,Comoros
25,EASTERN AFRICA,Djibouti
26,EASTERN AFRICA,Eritrea
27,EASTERN AFRICA,Ethiopia
28,EASTERN AFRICA,Kenya
29,EASTERN AFRICA,Madagascar
30,EASTERN AFRICA,Malawi
31,EASTERN AFRICA,Mauritius
32,EASTERN AFRICA,Mayotte
33,EASTERN AFRICA,Mozambique
34,EASTERN AFRICA,Reunion
35,EASTERN AFRICA,Rwanda
36,EASTERN AFRICA,Seychelles
37,EASTERN AFRICA,Somalia
38,EASTERN AFRICA,South Sudan
39,EASTERN AFRICA,Tanzania
40,EASTERN AFRICA,Uganda
41,EASTERN AFRICA,Zambia
42,EASTERN AFRICA,Zimbabwe
43,MIDDLE AFRICA,Angola
44,MIDDLE AFRICA,Cameroon
45,MIDDLE AFRICA,Central African Republic
46,MIDDLE AFRICA,Chad
47,MIDDLE AFRICA,Congo
48,MIDDLE AFRICA,"Congo, Dem. Rep."
49,MIDDLE AFRICA,Equatorial Guinea
50,MIDDLE AFRICA,Gabon
51,MIDDLE AFRICA,Sao Tome and Principe
52,SOUTHERN AFRICA,Botswana
53,SOUTHERN AFRICA,eSwatini
54,SOUTHERN AFRICA,Lesotho
55,SOUTHERN AFRICA,Namibia
56,SOUTHERN AFRICA,South Africa
57,NORTHERN AMERICA,Canada
58,NORTHERN AMERICA,United States
59,CENTRAL AMERICA,Belize
60,CENTRAL AMERICA,Costa Rica
61,CENTRAL AMERICA,El Salvador
62,CENTRAL AMERICA,Guatemala
63,CENTRAL AMERICA,Honduras
64,CENTRAL AMERICA,Mexico
65,CENTRAL AMERICA,Nicaragua
66,CENTRAL AMERICA,Panama
67,CARIBBEAN,Antigua and Barbuda
68,CARIBBEAN,Bahamas
69,CARIBBEAN,Barbados
70,CARIBBEAN,Cuba
71,CARIBBEAN,Curacao
72,CARIBBEAN,Dominica
73,CARIBBEAN,Dominican Republic
74,CARIBBEAN,Grenada
75,CARIBBEAN,Guadeloupe
76,CARIBBEAN,Haiti
77,CARIBBEAN,Jamaica
78,CARIBBEAN,Martinique
79,CARIBBEAN,Puerto Rico
80,CARIBBEAN,St. Kitts-Nevis
81,CARIBBEAN,Saint Lucia
